2024-10-30 00:30:31,699 - start diff evolution, bounds: [(0.5, 3), (17, 30), (0.4, 1.5), (0.4, 1.5), (4.0, 7), (4.0, 10.0)], fixed_params: {'ifa_l': 23, 'ifa_h': 5.5, 'ifa_fp': 5, 'ifa_w1': 1, 'ifa_w2': 1.0, 'ifa_wf': 1}
2024-10-30 00:48:53,830 - total seconds: 184.82, ifa_l: 19.985, ifa_h: 9.363, ifa_fp: 5.033, ifa_w1: 1.665, ifa_w2: 1.278, ifa_wf: 0.414, S11 at cf: -10.3449, Imp: 74.0R 30.5z, Res f: 2.378 GHz, S11 at res: -13.436, BW1: 2.24 GHz, BW2: 2.57 GHz, BW = 332.0 MHz - id 79016ed4b976
2024-10-30 00:51:35,823 - total seconds: 245.74, ifa_l: 23.608, ifa_h: 5.560, ifa_fp: 4.252, ifa_w1: 1.522, ifa_w2: 1.097, ifa_wf: 0.613, S11 at cf: -2.0816, Imp: 10.9R 44.8z, Res f: 2.182 GHz, S11 at res: -5.785, BW1: -0.00 GHz, BW2: -0.00 GHz, BW = -0.0 MHz - id 7e487792e123
2024-10-30 00:51:51,601 - total seconds: 200.62, ifa_l: 25.655, ifa_h: 9.706, ifa_fp: 6.738, ifa_w1: 0.770, ifa_w2: 0.883, ifa_wf: 1.160, S11 at cf: -8.4308, Imp: 44.9R 38.5z, Res f: 2.310 GHz, S11 at res: -16.020, BW1: 2.15 GHz, BW2: 2.53 GHz, BW = 384.0 MHz - id 09a07fb8d0d2
2024-10-30 00:52:38,745 - total seconds: 224.91, ifa_l: 24.301, ifa_h: 5.214, ifa_fp: 4.853, ifa_w1: 1.371, ifa_w2: 0.528, ifa_wf: 1.155, S11 at cf: -6.4671, Imp: 18.0R 4.4z, Res f: 2.414 GHz, S11 at res: -6.630, BW1: 2.35 GHz, BW2: 2.49 GHz, BW = 136.0 MHz - id edacbdaf4497
2024-10-30 00:54:35,822 - total seconds: 164.22, ifa_l: 20.602, ifa_h: 6.742, ifa_fp: 5.013, ifa_w1: 1.005, ifa_w2: 1.431, ifa_wf: 0.739, S11 at cf: -11.6448, Imp: 42.2R -23.7z, Res f: 2.546 GHz, S11 at res: -20.075, BW1: 2.35 GHz, BW2: 2.89 GHz, BW = 540.0 MHz - id a6c9f44ba67c
2024-10-30 00:54:48,151 - total seconds: 192.33, ifa_l: 19.861, ifa_h: 6.615, ifa_fp: 5.743, ifa_w1: 1.993, ifa_w2: 0.634, ifa_wf: 0.773, S11 at cf: -3.8292, Imp: 80.3R -102.1z, Res f: 2.758 GHz, S11 at res: -17.614, BW1: 2.53 GHz, BW2: 3.25 GHz, BW = 720.0 MHz - id f357827acda0
2024-10-30 00:55:41,845 - total seconds: 183.10, ifa_l: 20.483, ifa_h: 9.682, ifa_fp: 5.052, ifa_w1: 2.350, ifa_w2: 1.114, ifa_wf: 1.352, S11 at cf: -13.0917, Imp: 74.1R -13.6z, Res f: 2.490 GHz, S11 at res: -14.020, BW1: 2.31 GHz, BW2: 2.79 GHz, BW = 480.0 MHz - id 9a1ac0a844d7
2024-10-30 00:56:42,414 - total seconds: 126.59, ifa_l: 19.160, ifa_h: 4.593, ifa_fp: 6.614, ifa_w1: 0.707, ifa_w2: 0.631, ifa_wf: 0.782, S11 at cf: -1.3493, Imp: 45.5R -158.0z, Res f: 3.270 GHz, S11 at res: -27.677, BW1: 2.82 GHz, BW2: -0.00 GHz, BW = -2822.0 MHz - id 51f7abe2071a
2024-10-30 00:59:11,897 - total seconds: 263.75, ifa_l: 20.879, ifa_h: 5.819, ifa_fp: 4.292, ifa_w1: 2.723, ifa_w2: 1.122, ifa_wf: 0.591, S11 at cf: -19.7256, Imp: 51.0R -10.4z, Res f: 2.474 GHz, S11 at res: -26.663, BW1: 2.34 GHz, BW2: 2.67 GHz, BW = 332.0 MHz - id 175301d2ee54
2024-10-30 00:59:39,147 - total seconds: 176.73, ifa_l: 18.640, ifa_h: 4.897, ifa_fp: 5.345, ifa_w1: 2.006, ifa_w2: 0.905, ifa_wf: 0.626, S11 at cf: -2.0872, Imp: 143.6R -194.4z, Res f: 2.902 GHz, S11 at res: -30.692, BW1: 2.65 GHz, BW2: 3.42 GHz, BW = 772.0 MHz - id ddd1f8587588
